Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Year to be a unicorn,Return on investment
ShareChat,4,08/04/2021,Internet software & services,Bengaluru,India,Asia,2015,1,"India Quotient, Elevation Capital, Lightspeed Venture Partners",6,4
Sorare,4,21/09/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2019,1,"Benchmark, Accel, SoftBank Group",2,4
VAST Data,4,16/04/2020,Data management & analytics,New York,United States,North America,2016,0,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",4,0
Articulate,4,01/07/2021,Edtech,New York,United States,North America,2015,2,"Blackstone, ICONIQ Growth, General Atlantic",6,2
Dutchie,4,16/03/2021,E-commerce & direct-to-consumer,Bend,United States,North America,2017,1,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",4,4
FalconX,4,10/08/2021,Fintech,San Mateo,United States,North America,2018,0,"Tiger Global Management, American Express Ventures, B Capital Group",3,0
Guild Education,4,13/11/2019,Internet software & services,Denver,United States,North America,2015,0,"General Atlantic, Blackstone, ICONIQ Growth",4,0
Chainalysis,4,23/11/2020,Fintech,New York,United States,North America,2014,0,"Addition, Benhcmark, Accel",6,0
dbt Labs,4,30/06/2021,Data management & analytics,Philadelphia,United States,North America,2016,0,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",5,0
Globalization Partners,4,24/01/2022,Internet software & services,Boston,United States,North America,2012,0,"Vista Equity Partners, Wincove, TDR Capital",10,0
Intarcia Therapeutics,4,01/04/2014,Health,Boston,United States,North America,1995,1,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",19,4
Relativity Space,4,23/11/2020,Other,Inglewood,United States,North America,2016,1,"Playground Global, Bond, Tribe Capital",4,4
StockX,4,26/06/2019,E-commerce & direct-to-consumer,Detroit,United States,North America,2016,1,"Google Ventures, Battery Ventures, DST Global",3,4
ThoughtSpot,4,08/05/2018,Internet software & services,Sunnyvale,United States,North America,2012,1,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",6,4
SSENSE,4,08/06/2021,E-commerce & direct-to-consumer,Montreal,Canada,North America,2003,0,Sequoia Capital,18,0
BitPanda,4,16/03/2021,Fintech,Vienna,Austria,Europe,2014,1,"Speedinvest, Valar Ventures, Uniqa Ventures",7,4
Dataminr,4,04/06/2018,Artificial Intelligence,New York,United States,North America,2009,1,"Venrock, Institutional Venture Partners, Goldman Sachs",9,4
Weee!,4,16/03/2021,"Supply chain, logistics, & delivery",Fremont,United States,North America,2015,1,"Goodwater Capital, iFly, XVC Venture Capital",6,4
Medlinker,4,31/07/2018,Health,Chengdu,China,Asia,2014,1,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",4,4
Hozon Auto,4,22/02/2022,Auto & transportation,Shanghai,China,Asia,2014,2,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",8,2
Aurora Solar,4,24/05/2021,Internet software & services,San Francisco,United States,North America,2013,1,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital",8,4
Branch,4,10/09/2018,Mobile & telecommunications,Redwood City,United States,North America,2014,1,"New Enterprise Associates, Pear, Cowboy Ventures",4,4
BrowserStack,4,16/06/2021,Internet software & services,Dublin,Ireland,Europe,2011,0,"Accel, Insight Partners, Bond Capital",10,0
Cerebras Systems,4,14/11/2018,Hardware,Los Altos,United States,North America,2016,1,"Benchmark, Foundation Capital, Sequoia Capital",2,4
ClickUp,4,15/12/2020,Internet software & services,San Diego,United States,North America,2017,1,"Georgian Partners, Craft Ventures",3,4
Clubhouse,4,24/01/2021,Mobile & telecommunications,San Francisco,United States,North America,2020,0,"Andreessen Horowitz, TQ Ventures",1,0
Farmers Business Network,4,03/08/2020,Other,San Carlos,United States,North America,2014,1,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures",6,4
Houzz,4,30/09/2014,E-commerce & direct-to-consumer,Palo Alto,United States,North America,2008,1,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",6,4
MEGVII,4,31/10/2017,Artificial Intelligence,Beijing,China,Asia,2011,1,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",6,4
Melio,4,25/01/2021,Fintech,New York,United States,North America,2018,1,"Accel, Aleph, American Express Ventures",3,4
Next Insurance,4,07/10/2019,Fintech,Palo Alto,United States,North America,2016,1,"Zeev Ventures, Ribbit Capital, TLV Partners",3,4
Olive,4,01/12/2020,Internet software & services,Columbus,United States,North America,2012,1,"Drive Capital, General Catalyst, Ascension Ventures",8,4
Patreon,4,02/09/2020,Internet software & services,San Francisco,United States,North America,2013,0,"Index Ventures, Thrive Capital, CRV",7,0
PointClickCare,4,07/01/2021,Internet software & services,Mississauga,Canada,North America,2000,0,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity",21,0
Rubrik,4,28/04/2017,Data management & analytics,Palo Alto,United States,North America,2014,1,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",3,4
Vuori,4,13/10/2021,E-commerce & direct-to-consumer,Carlsbad,United States,North America,2015,0,"SoftBank Group, Norwest Venture Partners",6,0
Webflow,4,13/01/2021,Internet software & services,San Francisco,United States,North America,2012,0,"Accel, Silversmith Capital Partners, capitalG",9,0
Yuga Labs,4,22/03/2022,Fintech,Miami,United States,North America,2021,1,"Andreessen Horowitz, Thrive Capital, Sound Ventures",1,4
Zapier,4,14/01/2021,Internet software & services,Sunnyvale,United States,North America,2011,1,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures",10,4
Dadi Cinema,3,11/05/2016,Other,Shenzhen,China,Asia,2006,0,Alibaba Pictures Group,10,0
Kurly,3,09/07/2021,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,2014,1,"Sequoia Capital China, DST Global, DST Global",7,3
Moglix,3,17/05/2021,E-commerce & direct-to-consumer,,Singapore,Asia,2015,1,"Jungle Ventures, Accel, Venture Highway",6,3
OpenAI,3,22/07/2019,Artificial Intelligence,San Francisco,United States,North America,2015,1,Khosla Ventures,4,3
Upstox,3,29/11/2021,Fintech,Mumbai,India,Asia,2010,0,"Tiger Global Management, Kalaari Capital",11,0
Vista Global,3,23/08/2017,Other,Dubai,United Arab Emirates,Asia,2004,0,Rhone Capital,13,0
Yixia,3,24/11/2015,Mobile & telecommunications,Beijing,China,Asia,2011,1,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",4,3
Automattic,3,27/05/2013,Internet software & services,San Francisco,United States,North America,2005,1,"Insight Venture Partners, Lowercase Capital, Polaris Partners",8,3
OakNorth Bank,3,12/10/2017,Fintech,London,United Kingdom,Europe,2015,1,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management",2,3
Worldcoin,3,29/06/2021,Fintech,San Francisco,United States,North America,2019,0,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz",2,0
Hive Box,3,23/01/2018,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,2015,1,"Eastern Bell Capital, SF Holding Co, STO Express",3,3
Trax,3,22/07/2019,Artificial Intelligence,,Singapore,Asia,2010,1,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures",9,3
MessageBird,3,08/10/2020,Mobile & telecommunications,Amsterdam,Netherlands,Europe,2011,1,"Y Combinator, Atomico, Accel",9,3
Cohesity,3,11/06/2018,Data management & analytics,San Jose,United States,North America,2013,1,"SoftBank Group, Sequoia Capital, Wing Venture Capital",5,3
Cybereason,3,06/08/2019,Cybersecurity,Boston,United States,North America,2012,1,"SoftBank Group, CRV, Spark Capital",7,3
A24 Films,3,09/03/2022,Other,New York,United States,North America,2012,0,"Stripes Group, Neuberger Berman",10,0
Acronis,3,18/09/2019,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,0,"Goldman Sachs, VebVentures, Insight Partners",16,0
Aura,3,09/06/2021,Cybersecurity,Burlington,United States,North America,2019,1,"Warburg Pincus, General Catalyst",2,3
BYTON,3,20/04/2018,Auto & transportation,Nanjing,China,Asia,2016,1,"FAW Group, Tencent Holdings, Tus Holdings",2,3
Cato Networks,3,17/11/2020,Cybersecurity,Tel Aviv,Israel,Asia,2015,1,"Aspect Ventures, SingTel Innov8, Greylock Partners",5,3
Digit Insurance,3,15/01/2021,Fintech,Bengaluru,India,Asia,2016,1,"Fairfax Financial Holdings, A91 Partners, TVS Capital",5,3
Fetch Rewards,3,31/03/2021,E-commerce & direct-to-consumer,Madison,United States,North America,2014,1,"Greycroft, Loeb.NYC, DST Global",7,3
Games24x7,3,30/03/2022,Internet software & services,Mumbai,India,Asia,2006,0,"Tiger Global Management, The Raine Group, Malabar Investments",16,0
GoStudent,3,22/06/2021,Edtech,Vienna,Austria,Europe,2017,1,"DN Capital, Left Lane Capital, Coatue Management",4,3
Immutable,3,07/03/2022,Fintech,Sydney,Australia,Oceania,2018,0,"Fabric Ventures, AirTree Ventures, Temasek",4,0
Infra.Market,3,25/02/2021,E-commerce & direct-to-consumer,Thane,India,Asia,2016,0,"Accel, Tiger Global Management, Nexus Venture Partners",5,0
Side,3,22/03/2021,Internet software & services,San Francisco,United States,North America,2017,0,"Coatue Managemeny, Trinity Ventures, Matrix Partners",4,0
SiFive,3,16/03/2022,Hardware,San Mateo,United States,North America,2015,0,"Sutter Hill Ventures, Osage University Partners, Spark Capital",7,0
Somatus,3,23/02/2022,Health,McLean,United States,North America,2016,1,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",6,3
Sysdig,3,28/04/2021,Cybersecurity,San Francisco,United States,North America,2013,1,"Accel, Bain Capital Ventures, Insight Partners",8,3
Uniphore,3,16/02/2022,Artificial Intelligence,Palo Alto,United States,North America,2008,1,"Chiratae Ventures, March Capital Partners, National Grid Partners",14,3
Varo Bank,3,09/09/2021,Fintech,San Francisco,United States,North America,2015,1,"Warburg Pincus, The Rise Fund, HarbourVest Partners",6,3
Vercel,3,23/06/2021,Internet software & services,San Francisco,United States,North America,2015,0,"CRV, Accel, Google Ventures",6,0
Oura,3,05/04/2022,Health,Oulu,Finland,Europe,2013,0,"Forerunner Ventures, Lifeline Ventures, MSD Capital",9,0
Unacademy,3,02/09/2020,Edtech,Bengaluru,India,Asia,2015,1,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",5,3
Axonius,3,01/03/2021,Cybersecurity,New York,United States,North America,2017,0,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",4,0
Clari,3,03/03/2021,Internet software & services,Sunnyvale,United States,North America,2012,1,"Sequoia Capital, Bain Capital Ventures, enaya Capital",9,3
ManoMano,3,05/07/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2013,1,"General Atlantic, Piton Capital, Partech Partners",8,3
Pendo,3,17/10/2019,Internet software & services,Raleigh,United States,North America,2013,0,"Contour Venture Partners, Battery Ventures, Core Capital Partners",6,0
Plume,3,23/02/2021,Internet software & services,Palo Alto,United States,North America,2015,1,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",6,3
JumpCloud,3,13/09/2021,Data management & analytics,Louisville,United States,North America,2012,0,"Foundry Group, General Atlantic, BlackRock",9,0
Project44,3,01/06/2021,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,1,"Emergence Capital Partners, 8VC, Chicago Ventures",7,3
Sourcegraph,3,13/07/2021,Internet software & services,San Francisco,United States,North America,2013,0,"Redpoint Ventures, Goldcrest Capital, Insight Partners",8,0
OwnBackup,3,28/01/2021,Data management & analytics,Englewood Cliffs,United States,North America,2015,1,"Insight Partners, Salesforce Ventures, Vertex Ventures",6,3
Starburst,3,06/01/2021,Data management & analytics,Boston,United States,North America,1999,0,"Index Ventures, Coatue Management, Andreessen Horowitz",22,0
Youxia Motors,3,02/04/2018,Auto & transportation,Shanghai,China,Asia,2014,1,"China Environmental Protection Industry, China Fortune Ocean",4,3
Zetwerk,3,20/08/2021,Internet software & services,Bengaluru,India,Asia,2018,1,"Sequoia Capital India, Kae Capital, Accel",3,3
Cars24,3,24/11/2020,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,1,"Moore Strategic Ventures, DST Global, Sequoia Capital India",5,3
Ethos,3,11/05/2021,Fintech,San Francisco,United States,North America,2016,0,"Sequoia Capital, Google Ventures, Accel",5,0
Komodo Health,3,22/05/2020,Health,San Francisco,United States,North America,2014,0,"Andreessen Horowitz, IA Ventures, Felicis Ventures",6,0
Nextiva,3,14/09/2021,Internet software & services,Scottsdale,United States,North America,2008,0,Goldman Sachs Asset Management,13,0
o9 Solutions,3,28/04/2020,Artificial Intelligence,Dallas,United States,North America,2009,0,KKR,11,0
Scopely,3,29/10/2019,Mobile & telecommunications,Culver City,United States,North America,2011,1,"Greycroft, Sands Capital, Revolution Growth",8,3
Sila Nanotechnologies,3,16/04/2019,Other,Alameda,United States,North America,2011,1,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",8,3
Via,3,30/03/2020,Auto & transportation,New York,United States,North America,2012,1,"83North, RiverPark Ventures, Pitango Venture Capital",8,3
Transmit Security,3,22/06/2021,Cybersecurity,Tel Aviv,Israel,Asia,2014,1,"General Atlantic, Insight Partners, Vintage Investment Partners",7,3
BlockDaemon,3,21/09/2021,Fintech,Los Angeles,United States,North America,2016,0,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",5,0
Convoy,3,21/09/2018,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,1,"Greylock Partners, capitalG, Y Combinator",3,3
Dream Games,3,30/06/2021,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,1,"Makers Fund, Index Ventures, Inova Ventures Participacees",2,3
Illumio,3,14/04/2015,Cybersecurity,Sunnyvale,United States,North America,2013,1,"Data Collective, Formation 8, General Catalyst Partners",2,3
MasterClass,3,13/05/2021,Edtech,San Francisco,United States,North America,2015,1,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",6,3
Graphcore,3,18/12/2018,Artificial Intelligence,Bristol,United Kingdom,Europe,2016,1,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2,3
ApplyBoard,3,05/05/2020,Edtech,Kitchener,Canada,North America,2015,1,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",5,3
Blockstream,3,24/08/2021,Fintech,Vancouver,Canada,North America,2014,0,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",7,0
Cedar,3,09/03/2021,Fintech,New York,United States,North America,2016,0,"Thrive Capital, Founders Fund, Cocnord Health Partners",5,0
ContentSquare,3,25/05/2021,Internet software & services,Paris,France,Europe,2012,1,"Highland Europe, Eurazeo, Canaan Partners",9,3
Eruditus Executive Education,3,12/08/2021,Edtech,Mumbai,India,Asia,2010,1,"Sequoia Capital India, Softbank, Bertelsmann India Investments",11,3
Innovaccer,3,19/02/2021,Health,San Francisco,United States,North America,2014,0,"M12, WestBridge Capital, Lightspeed Venture Partners",7,0
Ironclad,3,18/01/2022,Internet software & services,Sacramento,United States,North America,2014,0,"Accel, Sequoia Capital, Y Combinator",8,0
Skims,3,09/04/2021,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,0,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",2,0
Thumbtack,3,29/09/2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,1,"Tiger Global, Sequoia Capital, Google Capital",7,3
Zipline,3,20/05/2019,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,1,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",5,3
BharatPe,3,30/07/2021,Fintech,New Delhi,India,Asia,2018,1,"Insight Partners, Sequoia Capital India, BEENEXT",3,3
DriveWealth,3,20/08/2021,Fintech,Chatham,United States,North America,2012,1,"Point72 Ventures, Route 66 Ventures, Accel",9,3
Flink Food,3,01/12/2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,1,"Mubadala Capital, Bond, Prosus Ventures",0,3
PsiQuantum,3,27/07/2021,Hardware,Palo Alto,United States,North America,2016,1,"Playground Global, M12, BlackRock",5,3
SpotOn,3,26/05/2021,Fintech,San Francisco,United States,North America,2017,1,"Dragoneer Investment Group, DST Global, Franklin Templeton",4,3
Gorillas,3,25/03/2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,1,"Coatue Management, Atlantic Food Labs, DST Global",1,3
HighRadius,3,07/01/2020,Fintech,Houston,United States,North America,2006,1,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",14,3
Loft,3,03/01/2020,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,1,"Monashees+, Andreessen Horowitz, QED Investors",2,3
Nuvemshop,3,17/08/2021,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,1,"Kaszek Ventures, Qualcomm Ventures, Accel",10,3
Udaan,3,04/09/2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,1,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",2,3
Workrise,3,30/09/2019,Internet software & services,Austin,United States,North America,2014,1,"Founders Fund, Quantum Energy Partners, Bedrock Capital",5,3
ActiveCampaign,3,21/04/2021,Internet software & services,Chicago,United States,North America,2003,0,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",18,0
Age of Learning,3,03/05/2016,Edtech,Glendale,United States,North America,2007,1,Iconiq Capital,9,3
Amber Group,3,21/06/2021,Fintech,,Hong Kong,Asia,2015,0,"Tiger Global Management, Tiger Brokers, DCM Ventures",6,0
Anchorage Digital,3,15/12/2021,Fintech,San Francisco,United States,North America,2017,1,"Andreessen Horowitz, Blockchain Capital, Lux Capital",4,3
BlockFi,3,11/03/2021,Fintech,Jersey City,United States,North America,2017,1,"ConsenSys Ventures, Valar Ventures, PUC",4,3
Calendly,3,26/01/2021,Internet software & services,Atlanta,United States,North America,2013,0,"ICONIQ Capital, OpenView Venture Partners",8,0
Carbon Health,3,21/07/2021,Health,San Francisco,United States,North America,2015,1,"Brookfield Asset Management, Blackstone, Data Collective",6,3
Circle,3,15/05/2018,Fintech,Boston,United States,North America,2013,1,"General Catalyst, Digital Currency Group, Accel",5,3
CMR Surgical,3,17/09/2019,Health,Cambridge,United Kingdom,Europe,2014,1,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",5,3
Contentful,3,28/07/2021,Internet software & services,Berlin,Germany,Europe,2013,0,"Balderton Capital, General Catalyst, Tiger Global Management",8,0
Cross River Bank,3,11/02/2022,Fintech,Fort Lee,United States,North America,2008,1,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",14,3
Delhivery,3,27/02/2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,1,"Times Internet, Nexus Venture Partners, SoftBank Group",8,3
FlixBus,3,18/07/2019,Auto & transportation,Munich,Germany,Europe,2013,1,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",6,3
Flutterwave,3,09/03/2021,Fintech,San Francisco,United States,North America,2016,1,"Green Visor Capital, CRE Venture Capital, Greycroft",5,3
Forter,3,19/11/2020,Cybersecurity,New York,United States,North America,2013,1,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",7,3
Grafana Labs,3,25/03/2021,Internet software & services,New York,United States,North America,2014,1,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",7,3
Groww,3,07/04/2021,Fintech,Bengaluru,India,Asia,2017,0,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",4,0
Inxeption,3,13/01/2022,Fintech,San Francisco,United States,North America,2017,0,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",5,0
KK Group,3,23/10/2019,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,1,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",5,3
Lattice,3,23/03/2021,Internet software & services,San Francisco,United States,North America,2015,0,"Khosla Ventures, Thrive Capital, Y Combinator",6,0
LaunchDarkly,3,10/08/2021,Internet software & services,Oakland,United States,North America,2014,0,"Uncork Capital, Threshold Ventures, Bloomberg Beta",7,0
Lucid,3,29/06/2021,Internet software & services,South Jordan,United States,North America,2010,0,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",11,0
Outschool,3,14/04/2021,Edtech,San Francisco,United States,North America,2015,0,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",6,0
Podium,3,07/04/2020,Internet software & services,Lehi,United States,North America,2014,0,"Accel, Summit Partners, Google Ventures",6,0
Remote,3,13/07/2021,Fintech,San Francisco,United States,North America,2016,1,"Index Ventures, Sequoia Capital, General Catalyst",5,3
Seismic,3,18/12/2018,Internet software & services,San Diego,United States,North America,2010,0,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",8,0
Sky Mavis,3,04/10/2021,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,0,"Fabric Ventures, 500 Global, Standard Crypto",2,0
SouChe Holdings,3,01/11/2017,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,1,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",5,3
TradingView,3,14/10/2021,Fintech,Westerville,United States,North America,2011,0,"Tiger Global Management, Insight Partners, Jump Capital",10,0
Traveloka,3,01/01/2017,Travel,Jakarta,Indonesia,Asia,2012,1,"Global Founders Capital, East Ventures, Expedia Inc.",5,3
wefox,3,05/03/2019,Fintech,Berlin,Germany,Europe,2014,1,"Salesforce Ventures, Seedcamp, OMERS Ventures",5,3
Wildlife Studios,3,05/12/2019,Other,Sao Paulo,Brazil,South America,2011,0,"Benchmark, Bessemer Venture Partners",8,0
1047 Games,2,14/09/2021,Internet software & services,Zephyr Cove,United States,North America,2017,0,"VGames, Lakestar, Galaxy Interactive",4,0
Baiwang,2,25/03/2019,Fintech,Beijing,China,Asia,2015,0,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",4,0
Boba,2,05/04/2022,Fintech,San Francisco,United States,North America,2018,0,"DeFi Technologies, Hypersphere Ventures, M13",4,0
Bought By Many,2,01/06/2021,Fintech,London,United Kingdom,Europe,2012,1,"Octopus Ventures, Munich Re Ventures, CommerzVentures",9,2
Cambridge Mobile Telematics,2,19/12/2018,Mobile & telecommunications,Cambridge,United States,North America,2010,1,SoftBank Group,8,2
Carzone,2,01/03/2019,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,1,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",24,2
CFGI,2,15/09/2021,Fintech,Boston,United States,North America,2000,0,"The Carlyle Group, CVC Capital Partners",21,0
Cgtz,2,21/02/2017,Fintech,Hangzhou,China,Asia,2014,1,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",3,2
Changingedu,2,30/10/2017,Edtech,Shanghai,China,Asia,2014,0,"Trustbridge Partners, IDG Capital, Sequoia Capital China",3,0
eDaili,2,01/02/2019,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,0,"K2VC, Lightspeed China Partners, Sky9 Capital",4,0
ENOVATE,2,15/04/2019,Auto & transportation,Shanghai,China,Asia,2015,1,Automobile Industry Guidance Fund,4,2
Fenbi Education,2,07/02/2021,Edtech,Beijing,China,Asia,2015,0,"Trustbridge Partners, Hony Capital, IDG Capital",6,0
Hesai Tech,2,01/08/2020,Artificial Intelligence,Shanghai,China,Asia,2013,1,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",7,2
Il Makiage,2,10/01/2022,E-commerce & direct-to-consumer,New York,United States,North America,2018,0,"L Catterton, Franklin Templeton, First Light Capital Group",4,0
Iluvatar CoreX,2,01/03/2021,Hardware,Shanghai,China,Asia,2015,0,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",6,0
Jusfoun Big Data,2,09/07/2018,Data management & analytics,Beijing,China,Asia,2010,0,"Boxin Capital, DT Capital Partners, IDG Capital",8,0
Pagaya,2,17/06/2020,Fintech,Tel Aviv,Israel,Asia,2015,0,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office",5,0
PolicyBazaar,2,06/05/2019,Fintech,Gurgaon,India,Asia,2008,1,"Info Edge, Softbank Capital",11,2
Promasidor Holdings,2,08/11/2016,Consumer & retail,Bryanston,South Africa,Asia,1979,1,"IFC, Ajinomoto",37,2
Tubatu.com,2,09/03/2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,0,"Sequoia Capital China, Matrix Partners China, 58.com",7,0
Ximalaya FM,2,22/09/2017,Mobile & telecommunications,Shanghai,China,Asia,2012,0,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",5,0
HEYTEA,2,01/07/2019,Other,Shenzhen,China,Asia,2012,1,"Sequoia Capital China, Tencent Investment, BA Capital",7,2
BGL Group,2,24/11/2017,Fintech,Peterborough,United Kingdom,Europe,1992,1,CPP Investment Board,25,2
Claroty,2,17/06/2021,Cybersecurity,New York,United States,North America,2015,1,"Bessemer Venture Partners, MoreVC, Team8",6,2
Improbable,2,11/05/2017,Other,London,United Kingdom,Europe,2012,1,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",5,2
InMobi,2,02/12/2014,Mobile & telecommunications,Bengaluru,India,Asia,2007,0,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",7,0
MindMaze,2,28/01/2016,Health,Lausanne,Switzerland,Europe,2012,0,Hinduja Group,4,0
Ninja Van,2,27/09/2021,"Supply chain, logistics, & delivery",,Singapore,Asia,2014,1,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution",7,2
Pantheon Systems,2,13/07/2021,Internet software & services,San Francisco,United States,North America,2010,0,"Foundry Group, Scale Venture Partners, SoftBank Group",11,0
SellerX,2,09/12/2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,1,"Cherry Ventures, Felix Capital, 83North",1,2
AppDirect,2,07/10/2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2009,0,"Mithril, iNovia Capital, Foundry Group",6,0
BrewDog,2,10/04/2017,Consumer & retail,Aberdeen,United Kingdom,Europe,2007,0,"TSG Consumer Partners, Crowdcube",10,0
Enflame,2,05/01/2021,Hardware,Shanghai,China,Asia,2018,1,"Tencent Holdings, Delta Capital, Redpoint Ventures China",3,2
Tradeshift,2,30/05/2018,Fintech,San Francisco,United States,North America,2009,1,"Notion Capital, Scentan Ventures, Kite Ventures",9,2
HeartFlow,2,04/12/2017,Health,Redwood City,United States,North America,2007,1,"BlueCross BlueShield Venture Partners, US Venture Partners",10,2
Extend,2,18/05/2021,Fintech,San Francisco,United States,North America,2004,0,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",17,0
Airbyte,2,17/12/2021,Internet software & services,San Francisco,United States,North America,2020,0,"Accel, Benchmark, SV Angel",1,0
Andela,2,29/09/2021,Internet software & services,New York,United States,North America,2014,0,"Spark Capital, Google Ventures, CRE Venture Capital",7,0
Ascend Money,2,27/09/2021,Fintech,Bangkok,Thailand,Asia,2013,0,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",8,0
Athelas,2,31/01/2022,Health,Mountain View,United States,North America,2016,0,"Sequoia Capital, General Catalyst, Human Capital",6,0
Built,2,30/09/2021,Internet software & services,Nashville,United States,North America,2015,0,"Nyca Partners, Index Ventures, Technology Crossover Ventures",6,0
candy.com,2,21/10/2021,Fintech,New York,United States,North America,2021,0,"Insight Partners, Softbank Group, Connect Ventures",0,0
Cognite,2,19/05/2021,Data management & analytics,Lysaker,Norway,Europe,2016,0,"Technology Crossover Ventures, Accel, Aker",5,0
CoinList,2,15/10/2021,Fintech,San Francisco,United States,North America,2017,0,"Accomplice, Polychain Capital, GoldenTree Asset Management",4,0
Collective Health,2,17/06/2019,Fintech,San Francisco,United States,North America,2013,1,"New Enterprise Associates, Founders Fund, Google Ventures",6,2
Culture Amp,2,29/07/2021,Internet software & services,Richmond,Australia,Oceania,2011,0,"Felicis Ventures, Index Ventures, Blackbird Ventures",10,0
